"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pde1a3",8.48715833540569e-09,0.347351427698828,0.69,0.453,0.000184383514836689,"5","Pde1a"
"Atp6v0e22",8.68382786135104e-09,0.399384880470617,0.343,0.181,0.000188656160287851,"5","Atp6v0e2"
"Psme21",8.83783570889502e-09,0.297700496241638,0.403,0.228,0.000192001980775744,"5","Psme2"
"Drg12",8.91637994213598e-09,0.546945520083166,0.296,0.152,0.000193708354242904,"5","Drg1"
"1700025G04Rik",9.30334996957546e-09,0.432802576560997,0.37,0.207,0.000202115278089027,"5","1700025G04Rik"
"Timm17b1",9.31937468693581e-09,0.631309310567082,0.278,0.14,0.00020246341507368,"5","Timm17b"
"Smim271",9.37026244970748e-09,0.430697264618065,0.333,0.179,0.000203568951719895,"5","Smim27"
"Ruvbl11",9.52484539944428e-09,0.582646658243221,0.236,0.109,0.000206927266302927,"5","Ruvbl1"
"Dtd21",9.59315168524176e-09,0.862918409875491,0.157,0.062,0.000208411220361877,"5","Dtd2"
"Insig21",9.64260388007067e-09,0.372261354255926,0.375,0.207,0.000209485569294535,"5","Insig2"
"Epb41l11",9.64300995525822e-09,0.288338767657466,0.551,0.332,0.000209494391277985,"5","Epb41l1"
"Pigyl1",9.77418977548159e-09,0.745999431804942,0.218,0.1,0.000212344272872338,"5","Pigyl"
"1600012H06Rik1",9.95061236408937e-09,0.688847055436959,0.148,0.056,0.000216177053609842,"5","1600012H06Rik"
"Rsbn1l1",1.01978575026299e-08,0.328078415154509,0.519,0.326,0.000221548454244634,"5","Rsbn1l"
"Ddx181",1.04096381263626e-08,0.497054307858628,0.296,0.152,0.000226149388295228,"5","Ddx18"
"Diablo1",1.04537929796804e-08,0.587310324585317,0.306,0.157,0.000227108652483556,"5","Diablo"
"Ccl27a2",1.04582435957457e-08,0.702341406903946,0.227,0.104,0.000227205342117576,"5","Ccl27a"
"Usf21",1.05093828482095e-08,0.490771272645041,0.38,0.221,0.000228316342377351,"5","Usf2"
"Polr2d2",1.05681295744996e-08,0.716818475820518,0.194,0.083,0.000229592615006005,"5","Polr2d"
"Trappc51",1.08517908358096e-08,0.679325772763764,0.231,0.107,0.000235755155907964,"5","Trappc5"
"Ctdsp11",1.0865914255106e-08,0.293618665084283,0.468,0.278,0.000236061987192177,"5","Ctdsp1"
"Eif2s11",1.11517812573551e-08,0.288381003991974,0.37,0.208,0.000242272447816039,"5","Eif2s1"
"Lias2",1.13161268978682e-08,0.543063614920376,0.25,0.121,0.000245842856856187,"5","Lias"
"Nol121",1.17157904071192e-08,0.514050327566462,0.176,0.071,0.000254525546594665,"5","Nol12"
"Ncbp31",1.17960224229243e-08,0.554758273279793,0.255,0.124,0.000256268587138031,"5","Ncbp3"
"Mif4gd1",1.19975675121827e-08,0.548342584869589,0.273,0.137,0.000260647154202168,"5","Mif4gd"
"Tsg101",1.22797580065244e-08,0.675121056015641,0.245,0.119,0.000266777742691743,"5","Tsg101"
"Pdk23",1.23458122051806e-08,0.780053135255066,0.259,0.127,0.000268212770157548,"5","Pdk2"
"Commd42",1.24883833131587e-08,0.73967824244394,0.259,0.129,0.000271310127478374,"5","Commd4"
"Pias11",1.256289916045e-08,0.299148808862372,0.444,0.258,0.000272928984260777,"5","Pias1"
"Mcee1",1.25974626015901e-08,0.58338324575131,0.347,0.195,0.000273679875019544,"5","Mcee"
"Ak21",1.2617982497067e-08,0.471432530746155,0.259,0.126,0.00027412566974878,"5","Ak2"
"Morn22",1.26430986682499e-08,1.14792646876126,0.144,0.054,0.000274671318567729,"5","Morn2"
"Dtymk1",1.26875755782967e-08,0.465530004757051,0.259,0.128,0.000275637579438495,"5","Dtymk"
"Gng122",1.27272939524469e-08,0.323604416142374,0.616,0.387,0.000276500461116909,"5","Gng12"
"Eml23",1.28289131313905e-08,0.722366689068798,0.361,0.203,0.000278708137779459,"5","Eml2"
"Rars1",1.31233569401383e-08,0.601120814518059,0.255,0.125,0.000285104929524504,"5","Rars"
"Fam53b1",1.31398648415866e-08,0.661126760345399,0.296,0.155,0.00028546356368347,"5","Fam53b"
"Zfp5111",1.33647272766427e-08,0.549815243750137,0.19,0.081,0.000290348700085063,"5","Zfp511"
"Zfp3981",1.40072368673436e-08,0.833986807214421,0.139,0.051,0.000304307220943039,"5","Zfp398"
"Cebpzos1",1.41259786379835e-08,1.09075220133159,0.139,0.052,0.000306886885910191,"5","Cebpzos"
"Slc20a21",1.42754492900074e-08,0.529498651122597,0.361,0.206,0.000310134135825411,"5","Slc20a2"
"Zfp74",1.43560603869909e-08,0.791003006684917,0.148,0.056,0.000311885411907377,"5","Zfp74"
"Ppp3r1",1.45871280055524e-08,0.326788866872243,0.417,0.244,0.000316905355920625,"5","Ppp3r1"
"Gpc32",1.46344244155663e-08,0.530884671256921,0.338,0.185,0.000317932870428178,"5","Gpc3"
"Rtf22",1.47687578055013e-08,0.438999307234536,0.324,0.168,0.000320851263324516,"5","Rtf2"
"Paxx",1.47731262512536e-08,0.522469506051083,0.185,0.078,0.000320946167808483,"5","Paxx"
"Rgl21",1.50215999093227e-08,0.267384410812845,0.241,0.113,0.000326344258030036,"5","Rgl2"
"Ufl11",1.50492252623449e-08,0.545171077926458,0.338,0.185,0.000326944418824443,"5","Ufl1"
"Tctex1d21",1.5076081293065e-08,0.937630827190335,0.204,0.09,0.000327527866091836,"5","Tctex1d2"
"Kin2",1.51028282541606e-08,0.63920648790881,0.204,0.089,0.000328108943821639,"5","Kin"
"Phf5a1",1.5156407532498e-08,0.358467337243988,0.407,0.236,0.000329272953643518,"5","Phf5a"
"Snx61",1.54742278777531e-08,0.298596568479676,0.343,0.185,0.000336177600644186,"5","Snx6"
"Nabp21",1.61303807826075e-08,0.46066862481052,0.31,0.163,0.000350432522502148,"5","Nabp2"
"Fbxo421",1.62793248074153e-08,0.512827783960129,0.231,0.107,0.000353668331441098,"5","Fbxo42"
"2210408F21Rik",1.63378834590258e-08,0.860960292753012,0.144,0.054,0.000354940518147335,"5","2210408F21Rik"
"Pak1ip1",1.63728193349427e-08,0.30136745976543,0.356,0.193,0.00035569950005163,"5","Pak1ip1"
"Gstz11",1.63779984764922e-08,0.81720923599535,0.157,0.062,0.000355812016901792,"5","Gstz1"
"Tmem1291",1.6586193912581e-08,1.07538460627178,0.139,0.051,0.000360335062750822,"5","Tmem129"
"Mmut3",1.66035175324122e-08,0.44008764699812,0.431,0.256,0.000360711418391655,"5","Mmut"
"Taf11",1.71138384540744e-08,0.537259874782067,0.306,0.163,0.000371798140414767,"5","Taf11"
"Rpe",1.71779226838273e-08,0.6225147964692,0.19,0.082,0.000373190370306149,"5","Rpe"
"Ttc331",1.74244438477603e-08,0.605798666128507,0.227,0.106,0.000378546042592592,"5","Ttc33"
"Nme7",1.74825273317986e-08,0.637905731082742,0.13,0.046,0.000379807906283324,"5","Nme7"
"Marc21",1.7638338355961e-08,0.336022138434871,0.477,0.29,0.000383192900783252,"5","Marc2"
"Eci12",1.76650039941565e-08,0.611128613495705,0.292,0.152,0.000383772211773051,"5","Eci1"
"Rilpl21",1.77147026742658e-08,0.654718394597588,0.194,0.084,0.000384851915598424,"5","Rilpl2"
"Ppt21",1.80765400902434e-08,0.761317238603617,0.222,0.104,0.000392712833460537,"5","Ppt2"
"Tmem175",1.81316953066749e-08,1.16076353789479,0.12,0.041,0.000393911080537512,"5","Tmem175"
"Ei241",1.85792035289965e-08,0.256967006048681,0.356,0.195,0.000403633196667448,"5","Ei24"
"AW2094911",1.88683933138117e-08,1.29778786305131,0.13,0.047,0.000409915844742559,"5","AW209491"
"Rpl26",1.89622832398107e-08,0.256970432675906,0.986,0.85,0.000411955603384888,"5","Rpl26"
"Osbpl1a1",1.89693299788277e-08,0.343999949521151,0.375,0.21,0.000412108693790033,"5","Osbpl1a"
"Ino80e1",1.95056579319139e-08,0.4961070689639,0.236,0.111,0.000423760418570829,"5","Ino80e"
"Mrps111",1.99104373149678e-08,0.765978986594955,0.222,0.103,0.000432554250667676,"5","Mrps11"
"Ankrd491",2.03951225896806e-08,0.966143184644761,0.125,0.044,0.000443084038260812,"5","Ankrd49"
"Slc33a11",2.07642054385762e-08,0.775047269266812,0.144,0.055,0.000451102363153067,"5","Slc33a1"
"Nudcd21",2.0814344449277e-08,0.680532921430282,0.185,0.079,0.000452191633160542,"5","Nudcd2"
"Ppp1r1a3",2.09041511724334e-08,0.920456327649248,0.19,0.083,0.000454142684221115,"5","Ppp1r1a"
"Akt1s12",2.09247111865039e-08,0.564702083516888,0.315,0.17,0.000454589350526796,"5","Akt1s1"
"Ikbip1",2.10757488037668e-08,0.256139575672605,0.343,0.183,0.000457870642761833,"5","Ikbip"
"Nup881",2.1107199841071e-08,0.453770169151861,0.273,0.137,0.000458553916547268,"5","Nup88"
"Fkrp1",2.15582754270842e-08,0.588835340069771,0.218,0.099,0.000468353533653404,"5","Fkrp"
"Card191",2.16456217014127e-08,0.357621029397664,0.435,0.26,0.00047025113146319,"5","Card19"
"Tst1",2.2032554595358e-08,0.805660532456326,0.222,0.103,0.000478657248584151,"5","Tst"
"Ccdc691",2.25061316208092e-08,1.1299728109767,0.144,0.055,0.00048894570946208,"5","Ccdc69"
"Klhl422",2.25093130938872e-08,0.894427900340506,0.204,0.091,0.000489014826964699,"5","Klhl42"
"Tfam1",2.26842222468451e-08,0.585697762864951,0.241,0.115,0.00049281472831271,"5","Tfam"
"Fkbp42",2.27859470494262e-08,0.297520434033255,0.477,0.283,0.000495024699648785,"5","Fkbp4"
"Dpy301",2.35691766068484e-08,0.57115651906919,0.338,0.186,0.000512040361783781,"5","Dpy30"
"Nelfb2",2.36153769330902e-08,0.292809734359951,0.282,0.141,0.000513044063871385,"5","Nelfb"
"Tmem1361",2.37115104233908e-08,0.947412221454631,0.162,0.065,0.000515132563948164,"5","Tmem136"
"Hs1bp31",2.40105306709657e-08,0.97110637159965,0.125,0.044,0.00052162877882673,"5","Hs1bp3"
"Mtfmt",2.43828045749751e-08,0.989697871944424,0.12,0.042,0.000529716429391334,"5","Mtfmt"
"Cd81",2.46665067825225e-08,0.253676138366367,0.949,0.708,0.000535879859850301,"5","Cd81"
"Mrpl101",2.46667633462112e-08,0.893455271319387,0.194,0.085,0.000535885433696437,"5","Mrpl10"
"Faap201",2.53235848600267e-08,0.578746471852039,0.273,0.139,0.00055015488108408,"5","Faap20"
"Metap11",2.57701990902932e-08,0.724946426228032,0.222,0.105,0.00055985757523662,"5","Metap1"
"Nudt42",2.59094912529322e-08,0.306233139604388,0.986,0.724,0.000562883697469953,"5","Nudt4"
"Agtpbp11",2.5925118198583e-08,0.290614878546269,0.458,0.275,0.000563223192864215,"5","Agtpbp1"
"Pold2",2.59395164804625e-08,1.28849569106486,0.13,0.047,0.000563535995538047,"5","Pold2"
"Vps291",2.69271199997094e-08,0.396121560584251,0.444,0.277,0.000584991681993687,"5","Vps29"
"Msl32",2.71476050998007e-08,0.498351518530257,0.356,0.2,0.000589781720793169,"5","Msl3"
"Mtrex",2.72185831089793e-08,0.43182758743392,0.306,0.161,0.000591323718042576,"5","Mtrex"
"Snrpn2",2.73593229417716e-08,0.502221125617883,0.25,0.122,0.000594381290909988,"5","Snrpn"
